depID,name,location,companyID
1,Transition Scalable Niches,Guzmanberg,84
2,Transition Distributed E-Commerce,East Patrick,19
3,Brand Compelling Schemas,West Justin,77
4,Target E-Business E-Commerce,Bassburgh,10
5,Enable Back-End Convergence,Jacquelinebury,96
6,Implement Efficient Schemas,East Lynn,25
7,Target Open-Source Convergence,North Kelly,39
8,Deliver Transparent Solutions,Jonathanton,89
9,Innovate Integrated Markets,Micheletown,29
10,Embrace Transparent Convergence,North Scott,94
11,Enable Cross-Platform Applications,Yolandamouth,70
12,Matrix Synergistic Niches,North Whitney,84
13,Engage Mission-Critical Vortals,East Jay,58
14,Transition Dot-Com Technologies,Fisherburgh,14
15,Envisioneer Seamless E-Business,West Walter,10
16,Repurpose Clicks-And-Mortar Deliverables,Sarahberg,96
17,Envisioneer Compelling Web Services,Kerrview,100
18,Re-Contextualize Visionary Networks,Coxberg,21
19,Synthesize Virtual Architectures,North Sherry,8
20,Incubate E-Business Bandwidth,Dunnburgh,87
21,Synthesize Out-Of-The-Box Info-Mediaries,East David,27
22,Disintermediate Distributed Web-Readiness,New Joseph,100
23,Productize Global Portals,North Keith,99
24,Enable Efficient Technologies,North James,91
25,Mesh Revolutionary E-Tailers,Manningmouth,35
26,Engage Sticky Experiences,Thomasberg,54
27,Innovate Bleeding-Edge Roi,New Angeltown,9
28,Matrix Transparent E-Tailers,West Charlesberg,81
29,Enhance Cross-Media Roi,South Ianton,13
30,Deploy Viral Convergence,North Johnville,80
31,Engage Back-End Methodologies,Lake Erikfort,77
32,E-Enable Plug-And-Play Models,Chadberg,62
33,Unleash 24/365 Supply-Chains,Lake Brian,86
34,Exploit Collaborative Relationships,South Rachelland,3
35,Generate Frictionless Platforms,Port Kelsey,49
36,Engineer Virtual Web Services,South William,80
37,Re-Contextualize 24/365 Web Services,Steinmouth,30
38,Innovate User-Centric Communities,New Amy,2
39,Cultivate Granular Portals,Lake Chad,3
40,Deploy Out-Of-The-Box Deliverables,Sarahville,88
41,Brand Next-Generation Paradigms,Markbury,62
42,Drive Intuitive E-Commerce,East Rebeccashire,5
43,Monetize Wireless Experiences,Rosshaven,59
44,Maximize Sticky Models,Lake John,21
45,Seize Intuitive Technologies,Emilychester,95
46,Synergize 24/365 Web-Readiness,Annehaven,47
47,Re-Intermediate User-Centric Markets,South Gavin,70
48,Exploit Integrated Platforms,Colleenborough,37
49,Orchestrate One-To-One Eyeballs,Gonzalezville,59
50,Utilize Web-Enabled Applications,Shanefurt,76
51,Unleash Robust Niches,Cisnerosport,41
52,Exploit Efficient Technologies,New Rebeccaview,66
53,Harness Sticky Applications,West Jessica,91
54,Evolve World-Class Portals,North Gerald,12
55,Envisioneer 24/365 Models,Francisberg,19
56,Strategize 24/7 Architectures,South Markmouth,89
57,Reinvent Granular Communities,Perryland,66
58,Leverage Global Convergence,New Dennismouth,42
59,Benchmark Cutting-Edge Models,North Miguelbury,9
60,Embrace Bleeding-Edge Schemas,Jeffreyport,76
61,Extend Magnetic Action-Items,New Judy,13
62,Iterate Collaborative Bandwidth,North Donald,35
63,Enable Holistic Markets,North Robertberg,20
64,Enable Real-Time Mindshare,North Evan,24
65,Repurpose Magnetic Networks,West Kathleen,2
66,Utilize World-Class Interfaces,Brownfurt,9
67,Re-Intermediate Revolutionary Paradigms,Lawrencemouth,50
68,Transition Open-Source Action-Items,North Dylan,66
69,Reinvent End-To-End Metrics,East Justin,45
70,Productize Holistic Architectures,North Brenda,57
71,Embrace Transparent Portals,Paulashire,20
72,Morph Clicks-And-Mortar Experiences,New William,59
73,Exploit Customized Niches,Snyderbury,81
74,Facilitate E-Business Mindshare,Elliottchester,56
75,Generate Next-Generation Convergence,North Omarstad,94
76,Enhance Integrated Web Services,Gilesburgh,60
77,Expedite Frictionless Content,Lake Anthony,12
78,Matrix Visionary Relationships,Lake Elizabethshire,70
79,Brand Front-End Deliverables,Floresmouth,12
80,Unleash Frictionless Metrics,Deniseberg,23
81,Exploit Seamless E-Markets,South Nicholasborough,35
82,Empower Interactive Eyeballs,Johnsonport,76
83,Brand Virtual Partnerships,Meganside,34
84,Re-Intermediate Granular Deliverables,South Brianview,91
85,Deliver Cutting-Edge Mindshare,South Danielle,11
86,Integrate Frictionless Channels,Port Michaelland,53
87,Scale Bleeding-Edge Web-Readiness,Aliciaside,86
88,Unleash Real-Time Experiences,Port Williamchester,26
89,Seize Granular Supply-Chains,Jamesfort,45
90,Empower Frictionless E-Business,Matthewland,83
91,Transition Vertical Mindshare,Port Keithchester,86
92,Unleash Robust Eyeballs,East Heather,84
93,Productize Innovative Partnerships,Latashaside,50
94,Extend World-Class Web Services,Philipshire,47
95,Re-Contextualize Rich Systems,South Mark,22
96,Integrate Front-End Interfaces,Lake Rebekahborough,83
97,Enable Scalable Convergence,Harrellton,47
98,Evolve Killer Metrics,Lake Ebonymouth,95
99,Embrace Collaborative Channels,Henrybury,75
100,Monetize Back-End Infrastructures,Lake Barbarahaven,36
