teamID,name,depID
1,Persistent logistical capacity,22
2,Re-contextualized 4thgeneration middleware,51
3,Diverse user-facing hub,73
4,Persistent zero administration matrix,62
5,Re-contextualized modular instruction set,93
6,Robust asynchronous conglomeration,58
7,Triple-buffered well-modulated framework,36
8,Fundamental web-enabled product,75
9,Profound discrete structure,49
10,Synchronized maximized database,37
11,Switchable optimizing portal,99
12,Synchronized tangible synergy,96
13,Multi-channeled modular access,85
14,Decentralized high-level ability,100
15,Down-sized national open architecture,98
16,Operative dedicated access,85
17,Vision-oriented encompassing array,62
18,Streamlined interactive toolset,81
19,Cross-group upward-trending workforce,12
20,Future-proofed tertiary Graphic Interface,13
21,Proactive analyzing synergy,67
22,Cloned well-modulated instruction set,95
23,Re-engineered non-volatile attitude,14
24,Total 24hour Internet solution,45
25,Quality-focused composite groupware,92
26,Grass-roots multi-state flexibility,47
27,Assimilated fresh-thinking architecture,98
28,Reactive dynamic database,45
29,Exclusive intangible firmware,44
30,Reactive bifurcated groupware,41
31,Proactive scalable algorithm,47
32,Fully-configurable global approach,9
33,Face-to-face high-level emulation,16
34,Quality-focused value-added function,49
35,Reverse-engineered bi-directional algorithm,47
36,Secured value-added interface,2
37,Expanded disintermediate algorithm,34
38,Optional holistic workforce,79
39,Business-focused context-sensitive encryption,51
40,Reduced bi-directional projection,53
41,Operative next generation implementation,84
42,Upgradable upward-trending array,48
43,Public-key user-facing algorithm,3
44,Focused actuating knowledge user,41
45,Self-enabling zero tolerance frame,46
46,Multi-layered transitional challenge,35
47,Customizable disintermediate pricing structure,11
48,Business-focused systemic customer loyalty,52
49,Open-architected logistical hierarchy,64
50,Phased systematic initiative,57
51,Balanced impactful moderator,78
52,Enhanced 4thgeneration core,30
53,Pre-emptive transitional encryption,71
54,Future-proofed client-driven task-force,45
55,Vision-oriented discrete process improvement,48
56,Adaptive scalable collaboration,26
57,Business-focused analyzing matrix,73
58,Public-key methodical website,33
59,Implemented asymmetric success,40
60,Expanded national workforce,99
61,Grass-roots bottom-line projection,60
62,Secured hybrid strategy,48
63,Distributed systematic pricing structure,71
64,Business-focused executive emulation,13
65,Configurable zero-defect contingency,69
66,Visionary directional flexibility,57
67,Universal bottom-line protocol,16
68,Innovative systematic interface,88
69,Proactive local throughput,5
70,Reverse-engineered upward-trending leverage,70
71,Organized static monitoring,72
72,User-friendly uniform architecture,86
73,Assimilated multimedia archive,96
74,Universal high-level collaboration,43
75,Ergonomic static approach,24
76,Realigned system-worthy intranet,84
77,Customer-focused holistic circuit,34
78,Devolved object-oriented analyzer,6
79,Managed bottom-line array,89
80,Persistent encompassing Local Area Network,19
81,Extended content-based benchmark,63
82,Ameliorated client-server intranet,29
83,Seamless local archive,97
84,Open-source demand-driven attitude,64
85,Cross-platform encompassing info-mediaries,54
86,Total transitional extranet,73
87,Enterprise-wide empowering paradigm,96
88,Multi-lateral dedicated open architecture,8
89,Advanced optimizing access,28
90,Operative client-driven database,93
91,Customizable explicit function,55
92,Adaptive fault-tolerant info-mediaries,55
93,Right-sized human-resource methodology,34
94,Compatible transitional intranet,61
95,User-friendly analyzing protocol,61
96,Realigned high-level algorithm,71
97,Future-proofed directional process improvement,16
98,Ameliorated empowering open system,21
99,Realigned neutral extranet,53
100,Networked fault-tolerant attitude,73
